arrest_id,person_id,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
7193530,1306011,59.12054794520548,M,White,2016-04-26,1,1,0
2668316,1664393,23.945205479452056,M,White,2018-11-20,0,0,0
5050151,1799216,31.065753424657533,M,White,2017-10-08,0,0,0
7424662,3553588,29.301369863013697,M,mixed,2016-02-23,0,0,0
2977729,19918,27.96712328767123,M,White,2018-09-22,0,0,0
3249757,884830,26.75068493150685,M,Black,2018-07-31,0,0,0
6798949,709462,43.88767123287671,M,Black,2016-07-29,0,0,0
7203402,2879059,20.98630136986301,F,Black,2016-04-22,0,0,0
5455518,1000596,44.77534246575343,M,Black,2017-07-25,0,0,0
6203506,64186,35.85753424657534,M,Black,2017-01-24,0,0,0
2788963,46101,46.00547945205479,M,White,2018-10-29,0,0,0
3126042,1022206,31.36164383561644,M,Black,2018-08-26,0,0,0
6837789,542158,31.87945205479452,M,mixed,2016-07-16,0,0,0
5918533,3668762,29.13150684931507,M,Black,2017-04-07,0,1,0
3702546,3593307,40.92876712328767,F,mixed,2018-05-27,0,0,0
5974264,84410,42.84109589041096,F,Black,2017-03-24,1,1,0
6896776,1768653,56.12054794520548,M,White,2016-07-01,0,0,0
6102845,55857,27.07945205479452,F,White,2017-02-17,0,0,0
3013712,10237,26.4986301369863,M,Black,2018-09-16,0,0,0
6096198,319551,46.87671232876713,F,White,2017-02-19,0,0,0
6933156,541012,54.827397260273976,M,Black,2016-06-20,0,0,0
5559239,910246,40.42739726027397,M,Black,2017-07-04,0,0,0
3227956,419322,20.736986301369864,M,White,2018-08-03,0,0,0
4801231,1575015,18.983561643835618,M,Black,2017-11-17,0,0,0
7431888,995560,23.34794520547945,F,Black,2016-02-21,0,0,0
4111160,763078,41.89315068493151,M,Black,2018-03-27,0,1,0
3876566,1696565,42.41095890410959,F,Black,2018-04-24,0,0,0
5598626,1352734,28.86575342465753,M,White,2017-06-23,0,0,0
5847328,3389220,33.04383561643836,M,White,2017-04-25,0,0,0
5773028,32255,42.42191780821918,F,White,2017-05-15,1,0,0
7504516,215578,46.8986301369863,M,Black,2016-02-04,0,0,0
3166132,1289881,21.186301369863013,M,Black,2018-08-18,0,0,0
6922904,3178940,24.65205479452055,M,Black,2016-06-23,0,0,0
7369356,1509614,52.19178082191781,M,White,2016-03-09,0,0,0
5919982,960846,26.92328767123288,F,Black,2017-04-06,0,0,0
6096501,77276,42.9041095890411,M,Black,2017-02-19,1,0,0
3864977,3097517,37.23561643835617,M,,2018-04-26,0,0,1
5942633,756222,30.506849315068493,F,mixed,2017-03-31,0,1,0
5291736,2535391,24.898630136986306,F,White,2017-08-26,0,0,0
6029745,69831,28.375342465753423,F,White,2017-03-08,0,1,0
4874761,172713,24.2054794520548,M,Black,2017-11-04,0,0,1
3039205,1292290,49.96986301369863,F,Black,2018-09-11,0,1,0
5059604,910069,27.77260273972603,F,mixed,2017-10-05,1,0,0
2511968,358578,38.64109589041096,M,,2018-12-19,0,1,1
3232676,265085,43.10410958904109,M,Black,2018-08-03,0,0,0
2790886,184560,45.42739726027397,M,Black,2018-10-29,0,0,0
7063504,2384014,37.93150684931507,F,mixed,2016-05-12,0,0,0
4219078,259056,40.772602739726025,M,Black,2018-03-08,0,1,0
5226476,85929,35.0,M,Black,2017-09-08,0,0,0
6027429,1802254,24.63287671232877,F,White,2017-03-09,0,0,0
6485644,2740186,48.3013698630137,M,Black,2016-10-30,0,0,0
5475688,67939,60.42191780821918,M,Black,2017-07-21,0,0,1
4143130,1602937,44.59452054794521,F,White,2018-03-21,0,0,0
2953487,1064456,26.27123287671233,M,Black,2018-09-26,0,0,0
2978046,942762,38.273972602739725,M,Black,2018-09-22,0,1,0
4548723,1343831,45.35342465753425,F,White,2018-01-07,0,0,0
5660831,65834,20.065753424657533,M,Black,2017-06-10,0,0,0
3673834,1286831,22.19178082191781,M,Black,2018-05-31,0,0,0
4301105,43838,25.852054794520548,M,Black,2018-02-21,0,0,0
5984092,3098802,26.14794520547945,M,Black,2017-03-22,0,0,0
2472356,242203,20.197260273972603,M,Black,2018-12-29,0,0,1
3212729,40226,31.235616438356164,M,Black,2018-08-07,0,0,0
6352048,555837,46.78904109589041,M,Black,2016-12-11,1,0,0
6626206,1647361,19.92328767123288,M,White,2016-09-17,0,0,0
6193867,2400358,40.93698630136986,F,mixed,2017-01-26,0,0,0
6670200,3250583,35.484931506849314,M,White,2016-09-05,0,0,0
7541800,1549259,55.55342465753424,M,White,2016-01-20,0,0,0
6097696,3570780,32.78082191780822,M,Black,2017-02-18,0,0,0
6507127,49237,20.09041095890411,M,Black,2016-10-22,0,0,2
5694673,3587427,35.38904109589041,M,mixed,2017-06-01,0,0,0
3578573,47154,30.68493150684932,M,Black,2018-06-19,1,0,0
6892253,206826,37.24109589041096,M,Black,2016-07-03,0,0,0
5590253,21406,19.052054794520547,M,White,2017-06-26,0,1,1
7184393,212874,41.35068493150685,M,mixed,2016-04-29,0,0,1
6680947,206779,24.076712328767123,M,Black,2016-09-01,0,1,0
7370720,26596,46.40547945205479,M,mixed,2016-03-09,0,0,0
7382549,1061804,28.82191780821918,M,White,2016-03-07,0,0,0
3201857,1064849,27.03287671232877,F,White,2018-08-08,0,0,0
5052563,2558637,19.43013698630137,F,White,2017-10-07,0,0,0
5891147,1657426,62.706849315068496,M,Black,2017-04-14,0,0,0
3949162,25670,35.26301369863014,F,Black,2018-04-12,0,0,0
6237431,56452,56.37808219178082,M,Black,2017-01-13,0,0,1
5670555,67140,29.33150684931507,M,Black,2017-06-07,1,0,0
6920623,77897,30.2986301369863,M,White,2016-06-24,0,0,0
